trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
511,False,"{'a': 0.45, 'e': 0.07808166600115313}",25,18,-27.251939750382096,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
512,False,"{'a': 0.45, 'e': 0.07769223206730236}",20,13,11.886902867250548,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
513,False,"{'a': 0.45, 'e': 0.07730474044329974}",25,14,22.96017970259926,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.45, 'e': 0.0769191814418345}",20,16,9.117206065183872,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.45, 'e': 0.07653554542391151}",25,17,16.878889546346606,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.45, 'e': 0.07615382279861033}",25,11,24.951649607559553,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
517,False,"{'a': 0.45, 'e': 0.07577400402284548}",20,16,5.439288159533419,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
518,False,"{'a': 0.45, 'e': 0.07539607960112776}",20,6,19.84880880417771,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
519,False,"{'a': 0.45, 'e': 0.07502004008532698}",20,12,16.565433667813057,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
520,False,"{'a': 0.45, 'e': 0.07464587607443557}",20,6,30.302767698875346,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
521,False,"{'a': 0.45, 'e': 0.07427357821433388}",25,18,15.16292672490523,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
522,False,"{'a': 0.45, 'e': 0.07390313719755595}",25,13,-0.7290723365433684,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
523,False,"{'a': 0.45, 'e': 0.0735345437630571}",30,14,32.24040587936932,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
524,False,"{'a': 0.45, 'e': 0.07316778869598221}",30,16,24.920883221905232,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
525,False,"{'a': 0.45, 'e': 0.07280286282743559}",25,11,24.44001094245577,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
526,False,"{'a': 0.45, 'e': 0.07243975703425146}",20,15,8.9649437312043,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
527,False,"{'a': 0.45, 'e': 0.0720784622387661}",25,11,24.890663046893806,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
528,False,"{'a': 0.45, 'e': 0.07171896940859077}",30,10,33.50298237060923,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
529,False,"{'a': 0.45, 'e': 0.07136126955638605}",20,16,6.992612657660612,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
530,False,"{'a': 0.45, 'e': 0.07100535373963698}",20,9,23.042789098774396,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
531,False,"{'a': 0.45, 'e': 0.0706512130604296}",35,20,-12.97009844502501,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
532,False,"{'a': 0.45, 'e': 0.07029883866522844}",35,16,23.247974102636846,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
533,False,"{'a': 0.45, 'e': 0.06994822174465536}",20,5,9.482850928941044,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
534,False,"{'a': 0.45, 'e': 0.06959935353326901}",20,6,24.86583546376211,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
535,False,"{'a': 0.45, 'e': 0.069252225309346}",20,4,15.561423948947626,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
536,False,"{'a': 0.45, 'e': 0.06890682839466256}",25,8,19.040105371656217,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
537,False,"{'a': 0.45, 'e': 0.06856315415427791}",20,8,19.687448225072917,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
538,False,"{'a': 0.45, 'e': 0.06822119399631812}",30,12,20.313440102065645,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
